EC_number 	 Annotation 	 GOterm
EC:2.7.11.23 	" RNA polymerase II CTD heptapeptide repeat kinase activity "	GO:8353
EC:2.7.11.24 	" MAP kinase activity "	GO:4707
EC:2.7.11.25 	" MAP kinase kinase kinase activity "	GO:4709
EC:2.7.11.26 	" tau-protein kinase activity "	GO:50321
EC:2.7.11.27 	" [hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity "	GO:47322
EC:2.7.11.28 	" tropomyosin kinase activity "	GO:50359
EC:2.7.11.3 	" dephospho-[reductase kinase] kinase activity "	GO:47848
EC:2.7.11.30 	" transmembrane receptor protein serine/threonine kinase activity "	GO:4675
EC:2.7.11.31 	" [hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity "	GO:47322
EC:2.7.11.4 	" [3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity "	GO:47323
EC:2.7.11.5 	" [isocitrate dehydrogenase (NADP+)] kinase activity "	GO:8772
EC:2.7.11.6 	" [tyrosine 3-monooxygenase] kinase activity "	GO:50369
EC:2.7.11.7 	" myosin heavy chain kinase activity "	GO:16905
EC:2.7.11.8 	" Fas-activated serine/threonine kinase activity "	GO:33867
EC:2.7.12.1 	" protein serine/threonine/tyrosine kinase activity "	GO:4712
EC:2.7.12.2 	" MAP kinase kinase activity "	GO:4708
EC:2.7.13.1 	" protein histidine pros-kinase activity "	GO:8256
EC:2.7.13.2 	" protein histidine tele-kinase activity "	GO:8257
EC:2.7.13.3 	" protein histidine kinase activity "	GO:4673
EC:2.7.2.1 	" acetate kinase activity "	GO:8776
EC:2.7.2.10 	" phosphoglycerate kinase (GTP) activity "	GO:50191
EC:2.7.2.11 	" glutamate 5-kinase activity "	GO:4349
EC:2.7.2.12 	" acetate kinase (diphosphate) activity "	GO:47601
EC:2.7.2.14 	" ATP:2-methylpropanoate phosphotransferase activity "	GO:47758
EC:2.7.2.15 	" propionate kinase activity "	GO:8980
EC:2.7.2.2 	" carbamate kinase activity "	GO:8804
EC:2.7.2.3 	" phosphoglycerate kinase activity "	GO:4618
EC:2.7.2.4 	" aspartate kinase activity "	GO:4072
EC:2.7.2.6 	" formate kinase activity "	GO:47900
EC:2.7.2.7 	" butyrate kinase activity "	GO:47761
EC:2.7.2.8 	" acetylglutamate kinase activity "	GO:3991
EC:2.7.3.1 	" guanidinoacetate kinase activity "	GO:47973
EC:2.7.3.10 	" agmatine kinase activity "	GO:47633
EC:2.7.3.2 	" creatine kinase activity "	GO:4111
EC:2.7.3.3 	" arginine kinase activity "	GO:4054
EC:2.7.3.4 	" taurocyamine kinase activity "	GO:50324
EC:2.7.3.5 	" lombricine kinase activity "	GO:50059
EC:2.7.3.6 	" hypotaurocyamine kinase activity "	GO:47715
EC:2.7.3.7 	" opheline kinase activity "	GO:50154
EC:2.7.3.8 	" ammonia kinase activity "	GO:47666
EC:2.7.3.9 	" phosphoenolpyruvate-protein phosphotransferase activity "	GO:8965
EC:2.7.4.- 	" phosphotransferase activity, phosphate group as acceptor "	GO:16776
EC:2.7.4.1 	" polyphosphate kinase activity "	GO:8976
EC:2.7.4.10 	" nucleoside triphosphate adenylate kinase activity "	GO:46899
EC:2.7.4.11 	" (deoxy)adenylate kinase activity "	GO:47506
EC:2.7.4.12 	" T2-induced deoxynucleotide kinase activity "	GO:50316
EC:2.7.4.13 	" (deoxy)nucleoside-phosphate kinase activity "	GO:47507
EC:2.7.4.14 	" cytidylate kinase activity "	GO:4127
EC:2.7.4.15 	" thiamine-diphosphate kinase activity "	GO:50331
EC:2.7.4.16 	" thiamine-phosphate kinase activity "	GO:9030
EC:2.7.4.17 	" 3-phosphoglyceroyl-phosphate-polyphosphate phosphotransferase activity "	GO:47335
EC:2.7.4.18 	" farnesyl diphosphate kinase activity "	GO:47887
EC:2.7.4.19 	" 5-methyldeoxycytidine-5'-phosphate kinase activity "	GO:47336
EC:2.7.4.2 	" phosphomevalonate kinase activity "	GO:4631
EC:2.7.4.20 	" dolichyl-diphosphate-polyphosphate phosphotransferase activity "	GO:47337
EC:2.7.4.22 	" UMP kinase activity "	GO:33862
EC:2.7.4.23 	" ribose 1,5-bisphosphate phosphokinase activity "	GO:33863
EC:2.7.4.24 	" diphosphoinositol-pentakisphosphate kinase activity "	GO:33857
EC:2.7.4.26 	" isopentenyl phosphate kinase activity "	GO:102043
EC:2.7.4.3 	" adenylate kinase activity "	GO:4017
EC:2.7.4.4 	" nucleoside monophosphate kinase activity "	GO:50145
EC:2.7.4.6 	" nucleoside diphosphate kinase activity "	GO:4550
EC:2.7.4.7 	" phosphomethylpyrimidine kinase activity "	GO:8972
EC:2.7.4.8 	" guanylate kinase activity "	GO:4385
EC:2.7.4.9 	" thymidylate kinase activity "	GO:4798
EC:2.7.6.- 	" diphosphotransferase activity "	GO:16778
EC:2.7.6.1 	" ribose phosphate diphosphokinase activity "	GO:4749
EC:2.7.6.2 	" thiamine diphosphokinase activity "	GO:4788
EC:2.7.6.3 	" 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity "	GO:3848
EC:2.7.6.4 	" nucleotide diphosphokinase activity "	GO:50148
EC:2.7.6.5 	" GTP diphosphokinase activity "	GO:8728
EC:2.7.7.- 	" nucleotidyltransferase activity "	GO:16779
EC:2.7.7.1 	" nicotinamide-nucleotide adenylyltransferase activity "	GO:309
EC:2.7.7.10 	" UTP:galactose-1-phosphate uridylyltransferase activity "	GO:17103
EC:2.7.7.101 	" DNA primase activity "	GO:3896
EC:2.7.7.102 	" DNA primase activity "	GO:3896
EC:2.7.7.108 	" AMPylase activity "	GO:70733
EC:2.7.7.11 	" UTP:xylose-1-phosphate uridylyltransferase activity "	GO:47338
EC:2.7.7.12 	" UDP-glucose:hexose-1-phosphate uridylyltransferase activity "	GO:8108
EC:2.7.7.13 	" mannose-1-phosphate guanylyltransferase (GTP) activity "	GO:4475
EC:2.7.7.14 	" ethanolamine-phosphate cytidylyltransferase activity "	GO:4306
EC:2.7.7.15 	" choline-phosphate cytidylyltransferase activity "	GO:4105
EC:2.7.7.18 	" nicotinate-nucleotide adenylyltransferase activity "	GO:4515
EC:2.7.7.19 	" poly(A) RNA polymerase activity "	GO:1990817
EC:2.7.7.2 	" FMN adenylyltransferase activity "	GO:3919
EC:2.7.7.22 	" mannose-1-phosphate guanylyltransferase (GDP) activity "	GO:8928
EC:2.7.7.23 	" UDP-N-acetylglucosamine diphosphorylase activity "	GO:3977
EC:2.7.7.24 	" glucose-1-phosphate thymidylyltransferase activity "	GO:8879
EC:2.7.7.27 	" glucose-1-phosphate adenylyltransferase activity "	GO:8878
EC:2.7.7.28 	" nucleoside-triphosphate-hexose-1-phosphate nucleotidyltransferase activity "	GO:47339
EC:2.7.7.3 	" pantetheine-phosphate adenylyltransferase activity "	GO:4595
EC:2.7.7.30 	" fucose-1-phosphate guanylyltransferase activity "	GO:47341
EC:2.7.7.31 	" DNA nucleotidylexotransferase activity "	GO:3912
EC:2.7.7.32 	" galactose-1-phosphate thymidylyltransferase activity "	GO:47342
EC:2.7.7.33 	" glucose-1-phosphate cytidylyltransferase activity "	GO:47343
EC:2.7.7.34 	" glucose-1-phosphate guanylyltransferase activity "	GO:47344
EC:2.7.7.35 	" ribose-5-phosphate adenylyltransferase activity "	GO:47345
EC:2.7.7.36 	" aldose-1-phosphate adenylyltransferase activity "	GO:47346
EC:2.7.7.37 	" aldose-1-phosphate nucleotidyltransferase activity "	GO:47347
EC:2.7.7.38 	" 3-deoxy-manno-octulosonate cytidylyltransferase activity "	GO:8690
EC:2.7.7.39 	" glycerol-3-phosphate cytidylyltransferase activity "	GO:47348
EC:2.7.7.4 	" sulfate adenylyltransferase (ATP) activity "	GO:4781
EC:2.7.7.40 	" D-ribitol-5-phosphate cytidylyltransferase activity "	GO:47349
EC:2.7.7.41 	" phosphatidate cytidylyltransferase activity "	GO:4605
EC:2.7.7.42 	" [glutamate-ammonia-ligase] adenylyltransferase activity "	GO:8882
EC:2.7.7.43 	" N-acylneuraminate cytidylyltransferase activity "	GO:8781
EC:2.7.7.44 	" glucuronate-1-phosphate uridylyltransferase activity "	GO:47350
EC:2.7.7.45 	" GTP guanylyltransferase activity "	GO:47351
EC:2.7.7.46 	" aminoglycoside 2''-nucleotidyltransferase activity "	GO:8871
EC:2.7.7.47 	" aminoglycoside 3''-adenylyltransferase activity "	GO:9012
EC:2.7.7.48 	" RNA-dependent RNA polymerase activity "	GO:3968
EC:2.7.7.49 	" RNA-directed DNA polymerase activity "	GO:3964
EC:2.7.7.5 	" sulfate adenylyltransferase (ADP) activity "	GO:4780
EC:2.7.7.50 	" mRNA guanylyltransferase activity "	GO:4484
EC:2.7.7.51 	" adenylylsulfate-ammonia adenylyltransferase activity "	GO:47352
EC:2.7.7.52 	" RNA uridylyltransferase activity "	GO:50265
EC:2.7.7.53 	" ATP:ADP adenylyltransferase activity "	GO:3877
EC:2.7.7.56 	" tRNA nucleotidyltransferase activity "	GO:9022
EC:2.7.7.57 	" N-methylphosphoethanolamine cytidylyltransferase activity "	GO:47353
EC:2.7.7.59 	" [protein-PII] uridylyltransferase activity "	GO:8773
EC:2.7.7.6 	" DNA-directed 5'-3' RNA polymerase activity "	GO:3899
EC:2.7.7.60 	" 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity "	GO:50518
EC:2.7.7.61 	" holo-citrate lyase synthase activity "	GO:50519
EC:2.7.7.62 	" cobinamide phosphate guanylyltransferase activity "	GO:8820
EC:2.7.7.64 	" UTP-monosaccharide-1-phosphate uridylyltransferase activity "	GO:51748
EC:2.7.7.65 	" diguanylate cyclase activity "	GO:52621
EC:2.7.7.67 	" CTP:2,3-di-O-geranylgeranyl-sn-glycero-1-phosphate cytidyltransferase activity "	GO:43338
EC:2.7.7.68 	" phospholactate guanylyltransferase activity "	GO:43814
EC:2.7.7.7 	" DNA-directed DNA polymerase activity "	GO:3887
EC:2.7.7.72 	" CCA tRNA nucleotidyltransferase activity "	GO:4810
EC:2.7.7.75 	" molybdopterin adenylyltransferase activity "	GO:61598
EC:2.7.7.76 	" molybdenum cofactor cytidylyltransferase activity "	GO:61602
EC:2.7.7.77 	" molybdenum cofactor guanylyltransferase activity "	GO:61603
EC:2.7.7.78 	" GDP-D-glucose phosphorylase activity "	GO:80048
EC:2.7.7.79 	" tRNA guanylyltransferase activity "	GO:8193
EC:2.7.7.8 	" polyribonucleotide nucleotidyltransferase activity "	GO:4654
EC:2.7.7.80 	" molybdopterin-synthase adenylyltransferase activity "	GO:61605
EC:2.7.7.83 	" UDP-N-acetylgalactosamine diphosphorylase activity "	GO:52630
EC:2.7.7.84 	" 2'-5'-oligoadenylate synthetase activity "	GO:1730
EC:2.7.7.85 	" diadenylate cyclase activity "	GO:106408
EC:2.7.7.86 	" 2',3'-cyclic GMP-AMP synthase activity "	GO:61501
EC:2.7.7.87 	" L-threonylcarbamoyladenylate synthase "	GO:61710
EC:2.7.7.89 	" [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase activity "	GO:47388
EC:2.7.7.9 	" UTP:glucose-1-phosphate uridylyltransferase activity "	GO:3983
EC:2.7.8.- 	" phosphotransferase activity, for other substituted phosphate groups "	GO:16780
EC:2.7.8.1 	" ethanolaminephosphotransferase activity "	GO:4307
EC:2.7.8.10 	" sphingosine cholinephosphotransferase activity "	GO:47354
EC:2.7.8.11 	" CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity "	GO:3881
EC:2.7.8.12 	" CDP-glycerol glycerophosphotransferase activity "	GO:47355
EC:2.7.8.14 	" CDP-ribitol ribitolphosphotransferase activity "	GO:47356
EC:2.7.8.15 	" UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity "	GO:3975
EC:2.7.8.17 	" UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity "	GO:3976
EC:2.7.8.18 	" UDP-galactose-UDP-N-acetylglucosamine galactose phosphotransferase activity "	GO:47357
EC:2.7.8.19 	" UDP-glucose-glycoprotein glucose phosphotransferase activity "	GO:47358
EC:2.7.8.2 	" diacylglycerol cholinephosphotransferase activity "	GO:4142
EC:2.7.8.20 	" phosphatidylglycerol-membrane-oligosaccharide glycerophosphotransferase activity "	GO:8960
EC:2.7.8.21 	" membrane-oligosaccharide glycerophosphotransferase activity "	GO:47495
EC:2.7.8.22 	" 1-alkenyl-2-acylglycerol choline phosphotransferase activity "	GO:47359
EC:2.7.8.23 	" carboxyvinyl-carboxyphosphonate phosphorylmutase activity "	GO:8807
EC:2.7.8.24 	" phosphatidylcholine synthase activity "	GO:50520
EC:2.7.8.26 	" adenosylcobinamide-GDP ribazoletransferase activity "	GO:51073
EC:2.7.8.27 	" sphingomyelin synthase activity "	GO:33188
EC:2.7.8.28 	" LPPG:FO 2-phospho-L-lactate transferase activity "	GO:43743
EC:2.7.8.29 	" L-serine-phosphatidylethanolamine phosphatidyltransferase activity "	GO:106245
EC:2.7.8.3 	" ceramide cholinephosphotransferase activity "	GO:47493
EC:2.7.8.33 	" UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity "	GO:36380
EC:2.7.8.36 	" N,N'-diacetylbacilliosaminyl-1-phosphate transferase activity "	GO:102334
EC:2.7.8.37 	" alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase activity "	GO:61693
EC:2.7.8.38 	" archaetidylserine synthase activity "	GO:43761
EC:2.7.8.4 	" serine-phosphoethanolamine synthase activity "	GO:47494
EC:2.7.8.41 	" cardiolipin synthase (CMP-forming) "	GO:43337
EC:2.7.8.48 	" ceramide phosphoethanolamine synthase activity "	GO:2950
EC:2.7.8.5 	" CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity "	GO:8444
EC:2.7.8.6 	" undecaprenyl-phosphate galactose phosphotransferase activity "	GO:47360
EC:2.7.8.7 	" holo-[acyl-carrier-protein] synthase activity "	GO:8897
EC:2.7.8.8 	" CDP-diacylglycerol-serine O-phosphatidyltransferase activity "	GO:3882
EC:2.7.8.9 	" phosphomannan mannosephosphotransferase activity "	GO:47361
EC:2.7.9.1 	" pyruvate, phosphate dikinase activity "	GO:50242
EC:2.7.9.2 	" pyruvate, water dikinase activity "	GO:8986
EC:2.7.9.3 	" selenide, water dikinase activity "	GO:4756
EC:2.7.99.1 	" diphosphate-protein phosphotransferase activity "	GO:47321
EC:2.8.-.- 	" transferase activity, transferring sulphur-containing groups "	GO:16782
EC:2.8.1.- 	" sulfurtransferase activity "	GO:16783
EC:2.8.1.1 	" thiosulfate sulfurtransferase activity "	GO:4792
EC:2.8.1.11 	" molybdopterin-synthase sulfurtransferase activity "	GO:61604
EC:2.8.1.12 	" molybdopterin synthase activity "	GO:30366
EC:2.8.1.14 	" tRNA-5-taurinomethyluridine 2-sulfurtransferase "	GO:61708
EC:2.8.1.2 	" 3-mercaptopyruvate sulfurtransferase activity "	GO:16784
EC:2.8.1.3 	" thiosulfate-thiol sulfurtransferase activity "	GO:50337
EC:2.8.1.4 	" tRNA-uracil-4 sulfurtransferase activity "	GO:140741
EC:2.8.1.5 	" thiosulfate-dithiol sulfurtransferase activity "	GO:47362
EC:2.8.1.6 	" biotin synthase activity "	GO:4076
EC:2.8.1.7 	" cysteine desulfurase activity "	GO:31071
EC:2.8.1.8 	" lipoate synthase activity "	GO:16992
EC:2.8.2.- 	" sulfotransferase activity "	GO:8146
EC:2.8.2.1 	" aryl sulfotransferase activity "	GO:4062
EC:2.8.2.10 	" Renilla-luciferin sulfotransferase activity "	GO:50249
EC:2.8.2.11 	" galactosylceramide sulfotransferase activity "	GO:1733
EC:2.8.2.13 	" psychosine sulfotransferase activity "	GO:50226
EC:2.8.2.14 	" bile-salt sulfotransferase activity "	GO:47704
EC:2.8.2.15 	" steroid sulfotransferase activity "	GO:50294
EC:2.8.2.16 	" thiol sulfotransferase activity "	GO:33870
EC:2.8.2.17 	" chondroitin 6-sulfotransferase activity "	GO:8459
EC:2.8.2.18 	" cortisol sulfotransferase activity "	GO:47785
EC:2.8.2.19 	" triglucosylalkylacylglycerol sulfotransferase activity "	GO:47363
EC:2.8.2.2 	" alcohol sulfotransferase activity "	GO:4027
EC:2.8.2.20 	" protein-tyrosine sulfotransferase activity "	GO:8476
EC:2.8.2.21 	" keratan sulfotransferase activity "	GO:45130
EC:2.8.2.22 	" arylsulfate sulfotransferase activity "	GO:47686
EC:2.8.2.23 	" [heparan sulfate]-glucosamine 3-sulfotransferase 1 activity "	GO:8467
EC:2.8.2.24 	" desulfoglucosinolate sulfotransferase activity "	GO:47364
EC:2.8.2.25 	" flavonol 3-sulfotransferase activity "	GO:47894
EC:2.8.2.26 	" quercetin-3-sulfate 3'-sulfotransferase activity "	GO:47365
EC:2.8.2.27 	" quercetin-3-sulfate 4'-sulfotransferase activity "	GO:47366
EC:2.8.2.28 	" quercetin-3,3'-bissulfate 7-sulfotransferase activity "	GO:47367
EC:2.8.2.29 	" [heparan sulfate]-glucosamine 3-sulfotransferase 2 activity "	GO:33871
EC:2.8.2.3 	" amine sulfotransferase activity "	GO:47685
EC:2.8.2.30 	" [heparan sulfate]-glucosamine 3-sulfotransferase 3 activity "	GO:33872
EC:2.8.2.31 	" petromyzonol sulfotransferase activity "	GO:33873
EC:2.8.2.32 	" scymnol sulfotransferase activity "	GO:33874
EC:2.8.2.33 	" N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase activity "	GO:50659
EC:2.8.2.34 	" glycochenodeoxycholate sulfotransferase activity "	GO:33876
EC:2.8.2.4 	" estrone sulfotransferase activity "	GO:4304
EC:2.8.2.5 	" chondroitin 4-sulfotransferase activity "	GO:47756
EC:2.8.2.6 	" choline sulfotransferase activity "	GO:47754
EC:2.8.2.7 	" UDP-N-acetylgalactosamine-4-sulfate sulfotransferase activity "	GO:47368
EC:2.8.2.8 	" [heparan sulfate]-glucosamine N-sulfotransferase activity "	GO:15016
EC:2.8.2.9 	" tyrosine-ester sulfotransferase activity "	GO:17067
EC:2.8.3.- 	" CoA-transferase activity "	GO:8410
EC:2.8.3.1 	" propionate CoA-transferase activity "	GO:18729
EC:2.8.3.10 	" citrate CoA-transferase activity "	GO:8814
EC:2.8.3.11 	" citramalate CoA-transferase activity "	GO:47775
EC:2.8.3.12 	" glutaconate CoA-transferase activity "	GO:18730
EC:2.8.3.13 	" succinate-hydroxymethylglutarate CoA-transferase activity "	GO:47369
EC:2.8.3.14 	" 5-hydroxypentanoate CoA-transferase activity "	GO:47591
EC:2.8.3.15 	" succinyl-CoA:(R)-benzylsuccinate CoA-transferase activity "	GO:33877
EC:2.8.3.16 	" formyl-CoA transferase activity "	GO:33608
EC:2.8.3.17 	" cinnamoyl-CoA:phenyllactate CoA-transferase activity "	GO:43785
EC:2.8.3.2 	" succinyl-CoA:oxalate CoA-transferase "	GO:50161
EC:2.8.3.20 	" succinyl-CoA:(R)-citramalate CoA-transferase activity "	GO:43961
EC:2.8.3.25 	" bile-acid-CoA transferase activity "	GO:33881
EC:2.8.3.3 	" malonate CoA-transferase activity "	GO:50078
EC:2.8.3.5 	" succinyl-CoA:3-oxo-acid CoA-transferase activity "	GO:8260
EC:2.8.3.6 	" 3-oxoadipate CoA-transferase activity "	GO:47569
EC:2.8.3.8 	" acetate CoA-transferase activity "	GO:8775
EC:2.8.3.9 	" butyrate-acetoacetate CoA-transferase activity "	GO:47371
EC:2.8.4.- 	" alkylthioltransferase activity "	GO:50497
EC:2.8.4.1 	" coenzyme-B sulfoethylthiotransferase activity "	GO:50524
EC:2.8.4.2 	" mycothiol-arsenate ligase activity "	GO:102100
EC:2.8.4.4 	" protein methylthiotransferase activity "	GO:103039
EC:2.8.4.5 	" tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase "	GO:61712
EC:2.9.1.- 	" selenotransferase activity "	GO:16785
EC:2.9.1.1 	" L-seryl-tRNA(Sec) selenium transferase activity "	GO:4125
EC:2.9.1.2 	" O-phosphoseryl-tRNA(Sec) selenium transferase activity "	GO:98621
EC:2.9.1.3 	" tRNA 2-selenouridine synthase activity "	GO:43828
EC:3.-.-.- 	" hydrolase activity "	GO:16787
EC:3.1.-.- 	" hydrolase activity, acting on ester bonds "	GO:16788
EC:3.1.1.- 	" carboxylic ester hydrolase activity "	GO:52689
EC:3.1.1.1 	" carboxylesterase activity "	GO:106435
EC:3.1.1.10 	" tropinesterase activity "	GO:50357
EC:3.1.1.11 	" pectinesterase activity "	GO:30599
EC:3.1.1.13 	" sterol esterase activity "	GO:4771
EC:3.1.1.15 	" L-arabinonolactonase activity "	GO:50021
EC:3.1.1.17 	" gluconolactonase activity "	GO:4341
EC:3.1.1.19 	" uronolactonase activity "	GO:50389
EC:3.1.1.2 	" arylesterase activity "	GO:4064
EC:3.1.1.20 	" tannase activity "	GO:50318
EC:3.1.1.22 	" hydroxybutyrate-dimer hydrolase activity "	GO:47989
EC:3.1.1.23 	" acylglycerol lipase activity "	GO:47372
EC:3.1.1.24 	" 3-oxoadipate enol-lactonase activity "	GO:47570
EC:3.1.1.25 	" 1,4-lactonase activity "	GO:50490
EC:3.1.1.27 	" 4-pyridoxolactonase activity "	GO:47585
EC:3.1.1.28 	" acylcarnitine hydrolase activity "	GO:47619
EC:3.1.1.29 	" aminoacyl-tRNA hydrolase activity "	GO:4045
EC:3.1.1.3 	" triglyceride lipase activity "	GO:4806
EC:3.1.1.30 	" D-arabinonolactonase activity "	GO:47815
EC:3.1.1.31 	" 6-phosphogluconolactonase activity "	GO:17057
EC:3.1.1.33 	" 6-acetylglucose deacetylase activity "	GO:47593
EC:3.1.1.34 	" lipoprotein lipase activity "	GO:4465
EC:3.1.1.36 	" limonin-D-ring-lactonase activity "	GO:50055
EC:3.1.1.37 	" steroid-lactonase activity "	GO:50293
EC:3.1.1.38 	" triacetate-lactonase activity "	GO:50349
EC:3.1.1.39 	" actinomycin lactonase activity "	GO:47615
EC:3.1.1.4 	" phospholipase A2 activity "	GO:4623
EC:3.1.1.40 	" orsellinate-depside hydrolase activity "	GO:50160
EC:3.1.1.41 	" cephalosporin-C deacetylase activity "	GO:47739
EC:3.1.1.42 	" chlorogenate hydrolase activity "	GO:47745
EC:3.1.1.43 	" alpha-amino-acid esterase activity "	GO:47658
EC:3.1.1.44 	" 4-methyloxaloacetate esterase activity "	GO:47583
EC:3.1.1.45 	" carboxymethylenebutenolidase activity "	GO:8806
EC:3.1.1.46 	" deoxylimonate A-ring-lactonase activity "	GO:47845
EC:3.1.1.47 	" 1-alkyl-2-acetylglycerophosphocholine esterase activity "	GO:3847
EC:3.1.1.48 	" fusarinine-C ornithinesterase activity "	GO:47908
EC:3.1.1.49 	" sinapine esterase activity "	GO:50285
EC:3.1.1.5 	" lysophospholipase activity "	GO:4622
EC:3.1.1.50 	" wax-ester hydrolase activity "	GO:50398
EC:3.1.1.51 	" phorbol-diester hydrolase activity "	GO:50181
EC:3.1.1.52 	" phosphatidylinositol deacylase activity "	GO:50185
EC:3.1.1.53 	" sialate O-acetylesterase activity "	GO:1681
EC:3.1.1.54 	" acetoxybutynylbithiophene deacetylase activity "	GO:47373
EC:3.1.1.55 	" acetylsalicylate deacetylase activity "	GO:47610
EC:3.1.1.56 	" methylumbelliferyl-acetate deacetylase activity "	GO:47374
EC:3.1.1.57 	" 2-pyrone-4,6-dicarboxylate lactonase activity "	GO:47554
EC:3.1.1.58 	" N-acetylgalactosaminoglycan deacetylase activity "	GO:47375
EC:3.1.1.59 	" juvenile-hormone esterase activity "	GO:4453
EC:3.1.1.6 	" acetylesterase activity "	GO:8126
EC:3.1.1.60 	" bis(2-ethylhexyl)phthalate esterase activity "	GO:47709
EC:3.1.1.61 	" protein-glutamate methylesterase activity "	GO:8984
EC:3.1.1.63 	" 11-cis-retinyl-palmitate hydrolase activity "	GO:47520
EC:3.1.1.65 	" L-rhamnono-1,4-lactonase activity "	GO:50033
EC:3.1.1.66 	" 5-(3,4-diacetoxybut-1-ynyl)-2,2'-bithiophene deacetylase activity "	GO:47377
EC:3.1.1.67 	" fatty-acyl-ethyl-ester synthase activity "	GO:30339
EC:3.1.1.68 	" xylono-1,4-lactonase activity "	GO:50402
EC:3.1.1.7 	" acetylcholinesterase activity "	GO:3990
EC:3.1.1.70 	" cetraxate benzylesterase activity "	GO:47741
EC:3.1.1.71 	" acetylalkylglycerol acetylhydrolase activity "	GO:47378
EC:3.1.1.72 	" acetylxylan esterase activity "	GO:46555
EC:3.1.1.73 	" feruloyl esterase activity "	GO:30600
EC:3.1.1.74 	" cutinase activity "	GO:50525
EC:3.1.1.75 	" poly(3-hydroxybutyrate) depolymerase activity "	GO:50526
EC:3.1.1.76 	" poly(3-hydroxyoctanoate) depolymerase activity "	GO:50527
EC:3.1.1.77 	" acyloxyacyl hydrolase activity "	GO:50528
EC:3.1.1.78 	" polyneuridine-aldehyde esterase activity "	GO:50529
EC:3.1.1.79 	" hormone-sensitive lipase activity "	GO:33878
EC:3.1.1.8 	" cholinesterase activity "	GO:4104
EC:3.1.1.80 	" acetylajmaline esterase activity "	GO:33879
EC:3.1.1.81 	" acyl-L-homoserine-lactone lactonohydrolase activity "	GO:102007
EC:3.1.1.82 	" pheophorbidase activity "	GO:35560
EC:3.1.1.88 	" trans-permethrin hydrolase activity "	GO:102209
EC:3.1.1.89 	" protein C-terminal methylesterase activity "	GO:51722
EC:3.1.1.91 	" 2-oxo-3-(5-oxofuran-2-ylidene)propanoate lactonase activity "	GO:102355
EC:3.1.1.93 	" mycophenolic acid acyl-glucuronide esterase activity "	GO:102390
EC:3.1.1.94 	" versiconal hemiacetal acetate esterase activity "	GO:140397
EC:3.1.1.96 	" D-aminoacyl-tRNA deacylase activity "	GO:51499
EC:3.1.1.97 	" diphthine methylesterase activity "	GO:61685
EC:3.1.1.98 	" palmitoleyl hydrolase activity "	GO:1990699
EC:3.1.11.1 	" single-stranded DNA 3'-5' DNA exonuclease activity "	GO:8310
EC:3.1.11.2 	" double-stranded DNA 3'-5' DNA exonuclease activity "	GO:8311
EC:3.1.11.3 	" double-stranded DNA 5'-3' DNA exonuclease activity "	GO:51908
EC:3.1.11.4 	" single-stranded DNA 5'-3' DNA exonuclease activity "	GO:45145
EC:3.1.11.5 	" exodeoxyribonuclease V activity "	GO:8854
EC:3.1.11.6 	" exodeoxyribonuclease VII activity "	GO:8855
EC:3.1.13.1 	" exoribonuclease II activity "	GO:8859
EC:3.1.13.2 	" exoribonuclease H activity "	GO:4533
EC:3.1.13.3 	" oligonucleotidase activity "	GO:8946
EC:3.1.13.4 	" poly(A)-specific ribonuclease activity "	GO:4535
EC:3.1.13.5 	" ribonuclease D activity "	GO:33890
EC:3.1.14.- 	" RNA exonuclease activity, producing 3'-phosphomonoesters "	GO:16897
EC:3.1.15.- 	" exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters "	GO:16796
EC:3.1.16.- 	" exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters "	GO:16797
EC:3.1.2.- 	" thiolester hydrolase activity "	GO:16790
EC:3.1.2.1 	" acetyl-CoA hydrolase activity "	GO:3986
EC:3.1.2.10 	" acyl-CoA hydrolase activity "	GO:16289
EC:3.1.2.11 	" acetoacetyl-CoA hydrolase activity "	GO:47603
EC:3.1.2.12 	" S-formylglutathione hydrolase activity "	GO:18738
EC:3.1.2.13 	" S-succinylglutathione hydrolase activity "	GO:50273
EC:3.1.2.14 	" fatty acyl-[ACP] hydrolase activity "	GO:16297
EC:3.1.2.16 	" [citrate-(pro-3S)-lyase] thiolesterase activity "	GO:47778
EC:3.1.2.17 	" (S)-methylmalonyl-CoA hydrolase activity "	GO:47511
