"","ERR209376","ERR209378","ERR209953","ERR209336","ERR209085","ERR209164","ERR209088","ERR209298","ERR209375","ERR209310","ERR209096","ERR210202","ERR209487","ERR209118","ERR209160","ERR209266","ERR209379","ERR209415","ERR209371","ERR210263","ERR209448","ERR209354","ERR209380","ERR209296","ERR209300","ERR209373","ERR209299","ERR209286","ERR209287","ERR209223","ERR209312"
"3.1.3.25",1,0,0,0,0,1,1,0,3,1,0,0,0,8,1,0,1,1,4,0,0,1,0,1,1,0,1,2,1,1,0
"3.1.3.27",0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,0,0,0,0,0,2,1,0,0,1,1,0,0
"3.1.3.41",0,1,0,0,3,0,3,0,0,1,0,0,1,5,1,1,2,2,2,0,0,0,2,4,0,0,0,3,1,2,0
"3.1.3.45",2,1,4,2,7,3,7,1,4,4,2,1,2,7,5,4,1,10,6,0,6,3,0,4,4,0,1,5,3,3,1
"3.1.3.48",2,5,2,1,7,7,16,2,4,12,6,1,3,20,6,1,4,11,16,0,1,5,1,16,2,0,2,9,3,4,1
"3.1.3.89",2,1,0,0,7,0,8,0,2,6,0,0,0,3,1,0,2,2,4,0,0,1,1,8,2,0,0,4,0,3,1
"3.1.3.103",2,0,1,0,3,0,2,0,1,1,2,0,0,2,1,0,0,3,5,0,0,0,0,3,1,0,0,5,1,1,0
"3.1.4.1",2,1,0,0,1,1,3,0,0,10,4,0,0,4,1,0,0,1,5,0,3,1,0,12,1,0,1,3,3,4,0
"3.1.4.46",0,2,0,0,0,1,1,0,0,5,2,0,3,2,1,1,1,1,3,0,2,1,1,2,0,0,1,0,1,2,0
"3.1.4.52",0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"3.1.5.1",0,0,0,1,6,4,15,1,1,10,1,0,2,10,4,2,2,4,9,0,5,2,2,9,1,1,0,3,2,5,1
"3.1.6.1",0,0,1,0,0,3,0,0,1,1,0,0,1,3,1,0,0,3,5,0,0,4,0,3,1,1,0,5,0,0,0
"3.1.6.2",0,0,0,0,0,1,2,2,1,1,1,0,0,2,2,1,0,5,3,0,0,1,0,0,1,0,1,0,1,0,0
"3.1.6.12",1,0,1,3,1,2,1,1,1,4,1,1,1,8,1,1,0,4,7,0,1,5,0,2,3,0,1,4,1,0,0
"3.1.6.14",11,6,7,3,6,11,18,7,11,24,10,1,6,31,8,5,4,21,24,1,8,7,2,18,20,4,6,21,5,3,0
"3.1.7.2",0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.1.11.1",1,0,0,0,1,0,2,0,1,0,1,0,0,2,1,0,0,1,2,0,0,0,1,0,0,0,0,1,1,0,0
"3.1.11.2",2,3,0,1,7,7,13,0,3,11,3,0,2,18,6,2,0,5,12,0,4,4,4,11,6,0,1,11,1,3,0
"3.1.13.1",2,0,0,0,4,5,11,1,3,13,9,0,1,13,4,3,2,3,4,1,3,1,0,5,3,0,1,5,8,5,2
"3.1.21.2",7,2,2,0,4,9,20,5,10,23,11,0,1,20,9,1,1,16,20,0,7,10,4,20,6,0,5,14,4,9,2
"3.1.21.3",2,2,0,0,8,4,18,7,6,17,4,0,3,13,13,4,3,7,10,0,9,1,5,20,17,4,6,13,5,1,6
"3.1.21.4",2,1,0,0,2,2,6,0,2,4,1,0,1,8,4,0,1,0,5,0,1,0,1,8,1,1,1,3,2,1,0
"3.1.21.5",15,19,6,7,52,22,78,15,20,61,22,3,10,56,28,6,15,33,59,0,19,9,20,50,29,3,12,30,7,38,8
"3.1.22.4",2,4,0,0,1,1,7,2,1,4,1,0,0,2,2,2,2,3,2,0,0,0,2,4,3,1,0,2,1,4,2
"3.1.26.3",1,4,0,0,6,3,7,2,2,9,6,0,0,10,3,2,2,4,6,1,3,1,1,6,2,1,0,5,1,2,2
"3.1.26.4",8,7,6,6,26,14,41,6,11,38,4,0,7,45,15,6,15,18,32,2,7,13,10,38,9,2,6,22,9,12,5
"3.1.26.5",3,2,1,1,5,7,17,2,1,13,5,0,3,14,3,1,3,5,12,0,2,0,4,4,6,2,6,8,5,3,1
"3.1.26.12",0,1,0,0,1,0,3,0,2,0,5,1,1,12,6,1,1,1,1,0,0,2,3,4,1,1,0,3,0,0,0
"3.2.1.1",6,0,0,1,5,2,16,6,4,17,5,2,2,12,7,2,1,5,13,0,2,3,3,10,2,2,2,9,4,6,1
"3.2.1.3",15,7,17,11,33,16,25,4,17,21,19,3,11,24,13,11,5,17,36,0,18,15,1,18,7,1,3,20,2,6,0
"3.2.1.4",8,0,0,0,7,7,14,3,6,18,11,0,2,6,3,0,0,10,14,0,10,3,0,21,7,3,4,11,2,11,0
"3.2.1.8",5,2,0,1,4,7,2,0,4,16,10,0,0,5,2,1,0,4,13,0,3,1,0,8,5,3,3,5,1,7,2
"3.2.1.10",0,0,0,0,0,2,2,0,0,4,0,0,0,3,0,1,0,1,2,0,0,0,0,2,0,0,0,1,0,1,0
"3.2.1.15",2,2,1,1,6,6,5,2,4,2,5,0,5,9,5,3,0,8,11,1,5,7,2,5,5,0,3,13,2,3,0
"3.2.1.17",0,1,0,0,2,4,5,0,0,3,11,1,1,13,1,5,0,4,6,0,1,0,0,6,2,0,0,2,4,3,0
"3.2.1.18",3,2,3,4,5,2,13,2,5,5,6,0,2,20,8,5,1,16,10,0,1,4,0,9,2,0,2,7,3,1,0
"3.2.1.20",1,1,7,1,5,8,9,3,6,12,11,1,3,15,2,4,0,14,14,2,6,14,0,15,2,0,1,10,1,1,0
"3.2.1.21",19,11,9,17,49,47,58,9,29,79,31,0,4,54,23,3,9,30,105,3,29,21,14,53,9,2,7,50,7,30,3
"3.2.1.22",19,10,8,8,37,31,49,7,28,69,25,1,4,70,25,7,9,47,74,2,21,28,15,51,20,3,10,45,6,35,3
"3.2.1.23",33,19,26,22,68,45,109,20,40,106,55,2,21,112,61,32,17,78,149,3,43,41,20,78,49,9,17,78,26,44,5
"3.2.1.24",1,2,0,0,0,0,0,0,1,1,0,0,0,3,1,0,2,0,5,0,0,0,2,3,2,0,1,0,1,0,0
"3.2.1.25",4,0,4,3,9,16,20,2,3,15,9,1,6,15,6,4,0,16,12,2,2,6,1,5,2,0,2,11,2,0,1
"3.2.1.26",0,0,0,0,0,2,2,1,0,3,2,0,0,1,1,0,0,0,4,0,0,2,0,3,3,0,0,0,0,3,0
"3.2.1.31",4,0,1,0,12,7,10,0,4,17,7,0,0,5,3,4,1,8,7,0,6,0,0,12,1,0,0,4,7,3,2
"3.2.1.35",0,0,1,0,1,5,3,0,0,5,0,0,0,5,5,2,2,5,4,0,2,4,0,1,1,0,0,2,0,3,0
"3.2.1.37",12,3,3,6,26,9,23,9,9,16,18,2,1,18,15,12,1,7,38,0,8,6,2,29,12,11,14,16,6,9,2
"3.2.1.39",1,0,0,0,2,2,5,0,1,2,2,0,2,1,1,0,0,5,2,0,1,0,1,2,0,0,0,1,0,3,0
"3.2.1.40",1,3,0,2,8,3,4,1,5,6,3,0,3,8,7,0,3,2,14,0,0,1,3,4,1,0,0,9,0,6,0
"3.2.1.41",9,1,5,2,12,6,17,5,8,23,11,1,3,26,9,2,1,16,23,0,4,5,1,16,11,0,1,12,2,7,1
"3.2.1.49",1,0,0,2,7,0,8,2,1,12,1,0,1,6,3,1,1,5,11,0,3,0,0,6,4,1,1,3,0,1,3
"3.2.1.50",0,0,0,0,7,3,6,1,1,6,1,0,0,7,5,2,0,3,8,0,1,4,0,4,1,0,1,4,1,2,0
"3.2.1.51",0,0,0,1,6,4,10,0,0,16,2,0,5,14,4,2,1,9,15,0,0,4,1,8,1,0,0,4,1,3,0
"3.2.1.52",24,5,15,20,40,32,70,11,18,41,21,6,11,77,25,13,8,44,65,2,21,24,6,43,19,3,7,38,14,15,4
"3.2.1.54",2,0,0,1,2,2,5,1,3,3,2,1,1,8,3,1,0,6,4,0,2,0,1,3,0,0,3,5,1,1,0
"3.2.1.55",15,3,7,2,20,12,27,5,11,31,12,0,4,26,16,6,3,11,46,0,10,13,1,28,16,3,3,15,3,12,2
"3.2.1.63",2,1,1,0,4,2,5,1,0,6,3,0,0,5,4,1,1,2,4,1,1,2,2,2,1,0,1,3,0,4,1
"3.2.1.67",2,1,0,0,5,0,5,0,2,2,0,0,0,2,0,0,2,0,1,0,1,0,0,4,0,0,0,2,0,0,0
"3.2.1.68",2,2,1,0,4,3,3,4,2,7,4,0,0,6,4,0,1,3,6,0,5,0,1,10,4,0,2,2,1,6,0
"3.2.1.73",0,2,5,0,7,8,12,1,4,11,10,0,4,16,5,6,2,10,26,0,4,11,1,8,1,0,0,15,5,5,0
"3.2.1.78",1,0,0,0,5,5,5,0,1,7,7,0,0,11,2,0,0,1,7,0,1,1,0,8,4,0,1,8,0,4,0
"3.2.1.80",1,0,1,1,2,2,0,1,2,5,2,0,0,7,6,1,0,4,7,1,3,3,0,2,1,0,0,5,1,1,0
"3.2.1.85",1,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0
"3.2.1.86",1,2,0,0,3,9,17,7,2,22,7,0,3,12,8,3,3,20,14,0,5,4,2,15,5,0,3,3,6,4,1
"3.2.1.89",6,0,2,3,12,16,12,1,7,14,11,0,1,11,4,0,0,2,14,0,8,4,1,15,5,2,3,9,1,14,0
"3.2.1.93",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"3.2.1.96",2,0,1,0,0,5,2,1,4,3,1,0,0,4,0,0,0,5,5,0,2,3,0,2,1,0,0,2,1,0,0
"3.2.1.111",6,2,3,3,10,7,13,4,6,9,5,2,6,12,8,3,4,18,17,1,9,7,2,14,7,1,4,6,2,0,1
"3.2.1.122",0,2,0,0,2,0,3,0,1,5,1,0,2,8,0,0,0,2,1,0,2,0,0,2,0,0,0,1,4,0,0
"3.2.1.131",5,0,3,1,7,3,6,1,2,4,4,1,0,6,2,3,0,4,10,0,0,4,0,11,4,1,3,4,1,6,0
"3.2.1.135",0,0,0,0,1,2,2,0,0,7,4,0,0,3,2,0,0,0,3,0,1,0,0,2,1,1,2,1,1,2,0
"3.2.1.140",0,0,0,0,0,1,1,0,0,1,1,0,1,0,3,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0
"3.2.1.145",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
"3.2.1.156",2,2,0,0,5,3,4,4,4,8,8,0,0,3,1,0,2,1,8,1,4,2,0,6,4,0,0,4,0,6,0
"3.2.1.172",5,0,6,2,7,11,9,3,10,12,5,1,3,11,7,1,0,6,17,1,3,8,0,8,2,0,4,9,4,4,0
"3.2.1.177",10,0,8,4,17,13,17,3,7,14,9,0,1,23,4,7,0,6,20,1,10,12,0,24,3,2,1,22,6,5,0
"3.2.1.184",0,0,0,1,0,2,0,0,0,2,2,0,2,1,1,1,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0
"3.2.1.185",4,2,4,2,7,4,10,3,2,13,7,2,7,10,4,4,0,9,14,1,1,5,2,14,3,1,4,8,3,3,0
"3.2.1.187",5,0,6,3,8,3,10,2,5,7,6,2,9,7,0,2,0,5,14,0,1,8,0,9,1,2,3,12,4,1,0
"3.2.2.n1",2,0,1,1,1,2,2,1,1,0,0,1,0,5,2,0,0,3,5,0,1,3,1,1,0,0,0,3,1,1,0
"3.2.2.9",0,0,0,1,2,4,2,0,0,3,2,0,1,3,3,0,0,4,7,0,2,1,1,5,3,0,0,2,2,2,0
"3.2.2.20",3,4,3,1,2,4,7,2,4,9,3,0,2,7,7,2,2,6,17,0,0,3,1,9,4,2,3,5,5,1,0
"3.2.2.23",0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0
"3.2.2.24",2,0,0,0,1,2,4,0,1,6,3,0,0,1,2,0,1,5,8,0,0,0,0,6,2,0,1,2,0,5,0
"3.2.2.27",4,3,1,0,9,1,13,2,3,12,3,0,0,10,6,1,2,5,5,0,2,2,3,10,1,2,0,6,2,1,2
"3.2.2.31",1,0,1,0,5,5,12,1,0,8,4,0,1,13,5,1,0,8,9,0,1,1,0,6,2,0,2,5,2,5,1
"3.3.1.1",0,0,0,0,14,5,22,0,1,15,0,1,1,20,10,0,1,9,11,3,1,7,2,7,0,0,0,13,1,3,1
"3.4.11.2",0,0,0,0,0,1,3,0,0,0,4,0,0,8,1,2,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0
"3.4.11.4",2,0,0,0,2,2,1,0,0,4,0,0,2,6,0,1,1,3,3,0,1,0,0,2,1,0,0,1,0,2,0
"3.4.11.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"3.4.11.9",3,3,2,2,9,9,14,3,8,14,5,0,3,16,5,2,0,6,16,0,5,7,1,12,5,1,5,8,3,7,0
"3.4.11.14",0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,2,2,0,2,0,1,4,0,0,0,0,0,0,0
"3.4.11.18",8,12,5,3,20,16,35,7,8,26,10,0,13,42,17,9,3,24,33,1,12,9,10,30,12,2,7,21,6,17,3
"3.4.13.3",1,1,3,2,7,3,13,1,5,8,3,0,3,12,7,7,1,7,3,0,5,3,1,7,2,2,1,5,3,5,0
"3.4.13.9",2,2,0,0,5,0,9,0,2,10,3,0,1,8,2,3,2,0,9,0,1,2,3,6,2,0,0,4,5,3,1
"3.4.13.19",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.4.13.20",0,0,0,0,1,0,5,1,1,4,1,1,1,3,2,0,0,0,3,0,1,1,0,3,1,0,2,1,1,0,0
"3.4.13.21",0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,2,1,0,0
"3.4.14.4",13,4,9,2,9,3,19,4,11,15,13,0,4,25,12,8,3,7,16,0,8,7,2,9,4,0,5,17,7,4,0
"3.4.14.5",0,0,0,0,1,1,3,0,0,1,0,0,0,1,1,1,0,2,1,1,0,0,1,1,1,0,0,1,0,1,0
"3.4.14.12",3,1,2,2,8,2,6,2,2,5,4,2,3,6,3,4,1,7,2,0,6,2,2,8,4,0,0,4,1,2,0
"3.4.15.5",4,1,3,1,6,8,11,3,9,7,5,0,1,26,7,10,1,13,17,0,5,5,1,14,4,0,5,7,3,1,0
"3.4.16.4",5,5,1,1,10,7,37,5,7,25,11,0,4,24,12,11,9,6,21,0,7,1,9,30,5,2,8,22,18,13,6
"3.4.17.13",0,0,0,1,0,0,1,0,0,3,0,0,0,2,0,1,0,2,3,0,1,0,1,1,0,0,0,0,0,0,0
"3.4.19.3",0,0,0,0,1,1,4,0,2,3,0,0,2,3,0,0,1,2,3,0,0,0,2,2,0,0,0,1,0,1,1
"3.4.21.26",0,0,0,0,4,4,6,0,2,3,0,0,1,2,5,0,0,2,5,0,1,3,0,1,0,0,0,3,1,0,0
"3.4.21.53",10,9,5,3,31,14,53,9,12,41,16,1,4,62,27,10,9,25,29,0,10,8,11,42,22,1,9,24,8,18,4
"3.4.21.62",0,0,0,0,2,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,0,1,0,0,0,0,2,0
"3.4.21.88",4,2,0,0,5,2,5,2,4,8,2,0,2,6,3,1,2,3,8,0,1,0,0,10,2,1,2,6,1,3,0
"3.4.21.92",27,33,8,9,78,34,141,26,39,115,43,1,15,108,50,11,33,54,109,3,46,27,30,100,33,5,18,75,26,51,24
"3.4.21.102",0,0,0,0,3,3,3,2,1,4,2,0,0,6,2,4,1,3,2,0,2,2,0,4,2,0,2,4,5,4,1
"3.4.21.107",6,6,0,2,4,5,14,3,4,13,5,1,2,20,3,4,4,6,11,1,6,6,2,12,4,2,2,7,5,4,1
"3.4.22.2",1,3,0,1,1,0,3,0,1,4,1,0,0,3,5,1,1,2,8,1,2,2,0,6,4,0,2,2,1,4,0
"3.4.22.40",0,1,0,0,4,4,0,1,0,2,1,0,3,4,1,1,1,4,6,0,3,0,1,4,0,0,0,1,0,1,0
"3.4.22.51",0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0
"3.4.24.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.4.24.28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.4.24.70",0,0,2,0,2,1,6,1,2,2,2,0,0,8,1,2,1,3,2,0,0,2,0,2,1,1,1,1,1,0,0
"3.4.25.1",1,2,0,0,3,2,7,3,1,5,0,0,1,5,3,1,3,5,4,0,3,2,1,7,3,1,1,3,1,1,1
"3.4.25.2",0,2,0,0,7,1,14,0,0,7,1,0,0,12,4,3,3,4,6,0,1,2,2,5,2,0,0,5,6,1,0
"3.4.99.37",10,8,5,5,33,10,59,10,12,43,12,2,7,46,21,4,12,25,33,2,15,11,9,35,22,4,6,26,9,19,5
"3.5.1.1",5,2,3,3,8,5,14,2,7,14,7,1,1,27,10,7,4,16,23,0,7,7,1,7,2,1,2,17,5,6,1
"3.5.1.2",9,6,2,5,16,13,40,3,13,27,9,0,8,41,10,7,6,23,28,1,12,8,6,30,5,2,5,25,8,10,2
"3.5.1.5",1,0,0,0,0,1,0,0,0,5,0,0,0,4,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0
"3.5.1.10",3,0,2,0,1,1,1,1,2,5,5,0,1,3,0,3,1,1,2,0,2,1,0,3,2,1,0,2,2,0,0
"3.5.1.11",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.5.1.14",0,0,0,0,0,1,6,0,0,2,1,0,0,3,1,0,0,5,2,0,0,0,0,1,0,0,0,3,0,1,0
"3.5.1.19",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
"3.5.1.24",12,4,4,1,22,9,23,11,8,39,18,0,11,21,12,2,9,9,29,3,8,6,7,27,15,6,7,13,1,9,8
"3.5.1.25",0,1,0,0,1,1,9,0,0,1,3,0,1,3,1,2,0,1,1,0,1,0,0,2,1,0,0,0,1,1,0
"3.5.1.28",3,2,2,1,4,3,8,1,5,6,12,0,2,23,4,7,1,9,6,0,5,2,3,14,1,2,1,7,5,0,2
"3.5.1.53",2,2,2,2,6,2,5,2,1,8,6,0,1,5,2,0,1,0,7,0,7,2,1,6,1,0,2,2,0,5,0
"3.5.1.87",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.5.1.88",6,2,1,2,10,6,19,4,4,20,4,0,3,14,6,3,6,7,16,0,7,5,2,17,8,1,3,7,3,6,1
"3.5.1.92",0,1,0,0,2,0,3,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"3.5.1.104",1,1,0,0,0,0,2,1,1,2,0,0,0,1,0,0,1,0,2,0,1,1,0,1,1,0,0,5,0,1,0
"3.5.1.108",1,0,0,0,2,0,1,0,0,2,0,0,0,2,1,0,0,2,0,0,1,0,1,2,0,0,0,1,0,0,0
"3.5.1.116",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"3.5.1.126",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.5.2.2",0,0,0,0,3,1,3,0,0,2,4,0,0,5,1,1,0,2,3,0,0,0,0,0,0,0,0,3,0,0,0
"3.5.2.3",1,1,1,0,9,6,19,3,3,18,6,0,2,16,8,1,0,6,17,0,7,5,2,22,4,1,2,8,1,10,2
"3.5.2.6",5,1,1,0,3,4,6,1,4,6,3,1,1,10,3,3,1,10,4,1,2,2,1,3,1,1,2,5,5,0,0
"3.5.2.7",1,1,1,0,2,2,10,2,4,5,1,0,0,8,1,1,0,2,6,0,1,3,0,2,1,0,1,6,1,0,0
"3.5.3.6",0,1,3,1,5,1,7,1,1,5,4,0,1,14,2,4,3,7,6,1,2,4,3,7,3,0,4,4,2,1,1
"3.5.3.7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.5.3.12",1,0,0,1,2,4,1,0,0,4,3,0,0,10,2,0,0,0,3,0,4,1,1,6,2,0,1,2,0,3,0
"3.5.4.1",0,0,0,0,0,2,0,0,0,4,2,0,0,6,0,2,0,2,1,0,1,0,0,5,1,0,0,0,1,0,0
"3.5.4.3",1,1,0,0,5,2,12,1,2,7,4,0,0,11,9,1,0,7,15,0,5,3,2,3,3,0,1,9,5,3,1
"3.5.4.4",1,2,0,0,4,4,7,1,4,5,0,0,1,14,7,1,3,5,9,0,3,1,2,11,2,0,2,2,4,7,1
"3.5.4.5",2,3,0,1,5,2,9,2,1,12,4,0,1,14,3,1,1,4,9,0,3,2,4,6,1,0,1,8,1,5,1
"3.5.4.12",3,3,0,1,2,7,6,3,3,15,4,0,2,6,2,0,3,4,19,0,3,1,3,12,8,0,4,5,1,6,1
"3.5.4.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"3.5.4.16",2,5,4,4,7,6,14,4,4,14,7,0,3,16,10,4,1,9,14,0,7,5,3,13,5,0,1,10,3,7,2
"3.5.4.19",0,0,0,0,0,1,1,0,0,3,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0
"3.5.4.25",1,3,2,1,0,2,8,0,2,4,2,1,1,9,5,4,0,4,2,0,3,2,2,5,5,1,3,3,3,7,0
"3.5.5.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.5.99.2",0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"3.5.99.6",7,5,5,5,12,9,21,6,8,19,6,1,7,27,14,4,7,17,22,0,16,6,5,13,11,1,5,18,6,9,1
"3.5.99.10",3,0,1,1,8,5,13,0,3,8,3,1,2,12,4,1,2,5,14,1,7,2,1,14,2,0,1,7,2,5,0
"3.6.1.1",3,8,2,2,16,9,34,10,8,34,6,0,3,18,10,2,9,15,32,0,12,4,6,24,16,0,6,17,8,8,2
"3.6.1.3",26,35,25,12,104,59,184,24,59,141,57,4,27,201,85,33,30,106,146,1,53,52,38,130,47,6,32,116,18,74,15
"3.6.1.8",2,1,0,0,4,1,6,1,2,9,2,0,1,12,4,1,1,7,6,0,3,2,1,8,3,0,1,7,1,3,1
"3.6.1.9",3,2,0,0,2,3,6,0,2,4,2,0,1,7,1,3,0,2,4,0,5,3,0,7,0,1,1,3,3,2,0
"3.6.1.13",0,0,0,0,0,1,2,0,0,3,1,0,1,2,0,2,1,1,3,0,1,1,0,4,0,0,0,2,1,1,0
"3.6.1.22",1,0,0,0,0,2,0,1,0,3,0,0,0,7,0,4,0,4,0,0,1,1,0,2,1,1,0,1,1,1,1
"3.6.1.23",4,3,3,2,13,12,25,4,8,15,4,0,4,20,7,2,4,10,19,1,5,4,4,13,7,2,3,13,5,11,4
"3.6.1.27",2,0,0,1,3,4,6,2,3,10,4,0,1,6,3,2,0,4,13,1,2,1,0,7,3,2,2,4,3,6,2
"3.6.1.31",2,2,0,0,3,2,4,1,2,5,2,0,0,2,2,0,1,1,5,0,1,0,1,2,2,0,0,1,0,2,1
"3.6.1.66",2,2,1,1,5,3,13,0,1,4,2,0,0,6,0,1,1,0,1,0,2,2,3,1,1,0,1,1,0,2,0
"3.6.4.6",0,1,0,0,3,0,4,1,0,0,1,0,1,2,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"3.6.4.10",0,4,2,1,8,5,13,2,4,13,8,0,3,16,4,2,0,4,10,0,4,4,1,14,5,2,1,7,5,3,0
"3.6.4.12",60,44,21,25,139,82,288,36,84,201,87,8,30,239,106,52,60,122,252,3,81,57,58,217,64,15,37,129,44,96,28
"3.6.4.13",8,4,7,7,24,22,52,7,18,39,21,0,11,68,23,11,3,35,37,0,19,15,6,46,22,4,7,41,21,15,1
"3.6.5.n1",21,23,6,7,52,23,109,16,26,77,29,0,9,72,33,14,24,32,59,1,30,20,24,63,28,4,13,44,18,33,12
"3.6.5.3",17,18,9,5,65,32,118,16,18,92,22,1,16,107,36,10,24,19,51,1,33,17,27,59,36,12,17,45,20,42,16
"3.6.5.4",20,19,3,4,36,11,73,11,17,48,18,0,5,55,24,11,11,24,39,0,18,17,17,51,19,1,12,34,8,28,10
"3.11.1.1",1,0,1,1,1,1,2,1,0,3,0,1,2,8,3,1,0,5,3,0,1,1,0,4,3,0,1,3,1,0,0
"4.1.1.11",3,0,2,1,3,0,6,0,7,10,8,0,2,10,1,2,0,5,6,0,1,2,2,5,4,2,3,6,2,5,0
"4.1.1.15",2,2,3,0,2,1,9,1,3,10,6,1,1,11,3,4,1,10,14,0,2,2,0,7,3,0,1,10,7,0,0
"4.1.1.18",0,0,0,0,1,6,3,0,2,1,3,0,0,6,2,4,0,4,5,0,4,2,0,3,0,0,2,3,6,3,0
"4.1.1.19",4,0,5,1,1,5,10,6,5,12,12,0,1,15,1,7,1,6,7,1,7,3,3,7,2,2,2,6,6,7,1
"4.1.1.20",2,2,1,0,4,5,12,1,3,8,4,0,1,13,7,4,1,3,4,0,1,3,1,8,2,0,3,2,2,5,1
"4.1.1.21",0,0,1,2,2,4,2,0,2,6,0,0,1,6,1,0,0,2,5,0,3,1,0,5,4,1,0,2,0,2,1
"4.1.1.23",0,1,0,1,8,3,14,0,0,15,2,0,1,9,1,1,0,5,7,0,2,0,1,4,5,0,0,6,4,2,1
"4.1.1.32",0,5,1,0,8,1,11,0,0,4,0,0,0,10,2,0,6,0,4,0,0,0,5,3,1,0,2,10,2,6,3
"4.1.1.35",3,0,3,2,4,1,8,1,2,3,3,0,1,9,4,0,1,6,7,0,2,4,0,5,4,0,1,6,2,0,0
"4.1.1.37",0,0,0,0,0,3,3,0,0,0,1,0,0,5,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0
"4.1.1.48",3,0,0,0,2,2,4,0,2,9,7,0,1,8,2,0,0,6,6,1,3,1,0,6,1,0,0,5,2,6,0
"4.1.1.49",12,1,7,6,18,13,29,4,10,32,22,1,4,29,15,6,4,8,28,1,7,4,6,29,20,8,5,19,4,13,3
"4.1.1.98",0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,1,0,1,0,0,0,1,0,1,0,0,0,1,2,0,0
"4.1.1.112",0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0
"4.1.2.4",1,1,0,1,14,6,19,1,1,16,2,0,1,17,4,4,4,7,11,0,8,4,2,8,3,1,1,11,3,5,1
"4.1.2.5",1,0,0,1,3,2,9,1,2,6,0,0,2,14,3,0,2,5,6,0,0,2,0,5,1,0,2,3,0,6,0
"4.1.2.13",9,13,3,5,32,16,40,12,11,45,18,0,8,46,12,8,14,16,38,0,13,8,10,33,15,0,7,20,10,16,6
"4.1.2.14",0,0,0,0,0,1,2,0,0,3,2,0,0,3,0,0,0,2,1,0,1,0,0,1,0,0,0,2,0,1,0
