"","ERR209782","SRR5983300","SRR5936030","SRR5946907","SRR5946749","SRR5946674","SRR5946714","SRR5946754","SRR5946733","SRR5983268","SRR5946862","SRR5946927","SRR5946968","SRR5947102","SRR5946702","SRR5983270","SRR5946630","SRR5936219","SRR5946963","SRR5983437","SRR5983299","SRR5983400","SRR5935865","SRR5935996","SRR5946962","SRR5946881","SRR5936167","SRR5983391","ERR210422","SRR5935777","SRR5936111","SRR5947080","SRR5935789","SRR5983326","SRR5935898","SRR5983406","SRR5946894","SRR5946716","SRR5983393","SRR5935923","SRR5946685","SRR5947834","SRR5946943","SRR5935904","SRR5935875","SRR5935931","SRR5946627","SRR5983327","SRR5947869","SRR5983446","SRR5936190","SRR5946657","SRR5983284","SRR5935767","SRR5983355","SRR5983291","SRR5936199","ERR209799","SRR5935792","SRR5946892","SRR5983403","SRR5946675","SRR5946799","SRR5947056","SRR5947846","SRR5946873","ERR209764","SRR5947025","SRR5983275","SRR5946961","SRR5983294","SRR5936092","SRR5983297","SRR5947843","SRR5983282","SRR5983264"
"7.4.2.5",7,1,2,4,1,2,2,1,2,5,2,3,2,1,1,1,4,0,0,2,2,4,3,0,0,2,5,0,0,2,2,1,0,2,2,1,1,6,1,1,1,2,4,2,2,4,2,2,2,4,0,1,3,1,1,2,4,1,5,8,1,2,0,0,5,2,8,7,2,8,0,4,3,0,3,1
"7.5.2.1",38,35,14,13,12,9,19,10,18,37,26,19,20,12,6,24,33,9,4,29,25,24,11,12,10,16,18,10,1,8,12,7,2,24,13,13,4,12,6,15,7,10,11,12,17,23,7,29,18,21,0,23,17,4,16,10,35,17,26,23,37,22,1,0,28,14,38,24,5,23,14,27,13,5,24,3
"7.5.2.5",6,4,1,3,0,0,2,4,5,7,2,3,5,2,1,4,2,0,0,3,3,0,1,1,1,1,2,1,0,2,1,1,1,4,1,1,0,1,4,6,1,3,3,2,3,2,2,4,4,4,0,2,6,0,2,0,3,4,1,4,2,2,0,0,8,2,4,2,0,4,2,4,5,2,3,0
"7.5.2.8",3,5,4,4,0,2,2,1,13,6,9,8,8,2,0,0,5,0,0,6,4,1,2,2,0,4,5,1,0,2,0,0,0,3,0,0,0,8,0,3,1,0,5,0,1,9,1,7,0,4,0,2,2,1,3,0,12,1,6,3,6,0,0,0,7,3,14,5,1,5,1,6,2,3,0,0
"7.6.2.1",4,3,0,0,1,0,1,0,2,7,2,5,7,1,1,4,0,1,0,5,6,4,0,2,2,3,7,3,0,3,2,1,0,6,5,2,1,2,0,5,2,1,2,1,3,1,0,6,5,1,0,0,5,1,2,2,7,2,2,0,10,1,0,0,4,0,8,4,0,2,3,7,2,1,5,1
"7.6.2.2",35,19,10,8,7,12,9,2,19,29,15,15,18,11,8,14,22,3,7,29,22,15,13,9,7,11,16,18,0,13,6,9,4,22,13,12,6,12,13,19,15,5,17,13,4,13,6,17,22,11,0,9,10,5,4,6,25,8,22,24,24,9,0,0,22,8,37,15,4,26,14,29,13,5,17,8
"7.6.2.8",0,0,0,0,0,1,1,1,2,3,3,4,1,0,1,0,4,0,0,0,6,0,0,1,1,0,1,1,0,1,0,0,0,6,2,0,0,2,2,0,1,2,1,0,1,10,0,10,1,2,0,0,2,0,7,0,1,0,2,2,4,0,0,0,9,0,6,5,0,1,2,3,0,3,0,0
"7.6.2.9",6,1,1,2,2,4,4,3,3,7,3,1,4,1,1,4,6,2,1,2,4,2,5,2,5,5,3,6,0,4,1,3,1,5,2,1,2,2,5,2,3,1,0,2,1,8,2,10,8,2,0,2,7,1,6,2,2,3,4,6,6,3,0,0,3,3,4,3,2,2,0,2,5,3,5,0
"1.1.1.26",2,0,0,0,1,0,1,0,0,2,3,0,0,0,1,1,3,0,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,1,1,0
"1.1.1.60",1,2,0,2,0,0,1,0,3,1,0,0,0,1,0,0,2,0,0,1,2,1,0,0,1,2,3,0,0,2,1,1,0,1,0,1,0,1,0,1,2,0,2,0,0,1,1,1,0,1,0,2,0,0,2,0,0,1,1,0,3,0,0,0,2,0,2,1,0,0,1,1,1,0,0,1
"1.1.1.62",0,0,0,1,1,0,2,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0
"1.1.1.80",4,6,2,2,3,2,2,1,0,3,3,0,0,2,0,2,4,3,1,4,1,0,1,6,0,2,2,2,0,0,0,0,0,1,1,0,2,1,0,1,4,1,4,4,3,0,1,3,0,2,0,3,0,0,0,0,7,0,4,1,4,0,0,0,4,4,3,2,0,2,0,3,0,1,0,0
"1.1.1.94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.1.1.219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.1.1.261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.1.3.46",1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,1,1,0,1,0,0
"1.2.1.10",4,0,7,5,0,0,6,2,11,7,5,4,6,4,1,0,2,1,2,6,5,2,2,5,0,7,8,2,0,9,1,1,0,2,0,2,4,4,4,7,5,0,6,3,1,7,1,8,4,4,0,3,2,0,3,1,7,4,8,6,0,3,0,0,6,4,10,4,0,5,4,12,1,1,0,0
"1.2.4.4",2,2,3,2,3,1,1,2,1,0,0,1,1,2,1,3,2,0,0,2,1,3,3,1,1,2,3,1,0,1,0,1,1,1,1,1,3,0,2,1,3,2,2,1,2,3,1,2,4,2,0,2,4,0,4,1,1,1,2,1,3,3,0,0,3,2,0,2,0,2,0,2,3,1,3,2
"1.2.99.6",0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1.3.1.3",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"1.3.1.92",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.3.5.4",2,5,0,1,0,0,7,0,0,6,1,1,0,0,1,3,2,0,5,1,9,3,5,0,0,0,0,2,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,8,3,1,6,2,1,0,0,7,0,7,2,0,2,0,3,4,12,0,0,3,1,2,9,1,2,6,0,1,0,10,1
"1.6.6.9",0,1,0,0,0,0,2,0,3,5,0,1,1,0,0,2,0,0,0,2,3,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,5,0,5,1,0,0,0,0,0,6,0,1,0,0,1,0,4,0,0,6,0,0,0,0,0,0,0,1,2,2,0
"1.6.99.1",10,2,1,1,1,1,3,0,3,6,5,1,1,0,1,0,3,0,1,6,3,2,5,3,0,3,1,2,0,1,0,1,1,6,0,1,2,2,1,0,0,0,0,1,2,4,1,6,7,3,1,1,2,0,4,2,4,3,4,6,6,5,0,0,0,3,8,1,1,7,1,3,2,0,2,1
"1.7.2.2",8,8,1,3,3,4,2,2,2,3,0,1,0,3,2,10,2,0,0,8,3,9,6,3,4,2,1,6,0,1,0,0,1,6,0,3,5,1,8,1,2,11,2,3,8,6,3,9,7,2,1,2,11,0,5,1,4,1,2,4,6,9,1,0,11,5,2,5,0,1,1,2,8,3,7,8
"1.8.4.7",6,2,4,4,5,4,0,5,0,1,0,0,0,2,2,6,3,0,0,5,5,4,4,1,2,3,0,2,0,0,0,0,2,3,0,0,3,3,3,0,5,4,4,4,4,7,1,6,6,3,1,4,2,1,1,0,0,2,2,2,3,6,2,0,5,4,1,4,1,3,0,0,4,2,3,2
"1.8.99.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.11.1.5",3,2,1,1,1,1,3,1,0,5,1,0,0,1,0,4,1,0,0,3,1,2,2,1,2,3,0,2,0,0,3,0,0,4,0,1,1,0,2,1,2,3,0,0,1,2,1,1,2,0,0,1,3,0,2,1,0,0,0,3,7,3,1,0,4,2,2,1,0,0,1,1,3,1,5,1
"1.13.11.24",1,0,1,0,1,0,0,2,0,2,0,0,0,0,2,2,1,0,0,2,5,2,2,0,1,2,0,0,0,0,0,0,0,8,0,0,3,0,2,0,0,3,0,1,1,5,0,3,4,0,0,0,2,0,2,2,0,1,1,0,4,2,0,0,1,2,0,0,1,0,1,2,1,1,1,1
"2.1.1.79",0,0,0,1,0,0,0,0,7,2,2,1,0,0,0,1,3,0,1,1,1,0,1,1,2,0,4,2,0,0,2,1,0,1,3,0,0,0,0,4,0,1,0,0,1,3,0,6,0,0,0,0,0,1,2,0,6,3,1,3,1,0,0,0,1,0,5,3,0,4,0,8,0,2,0,0
"2.1.1.166",0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,4,0,1,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"2.1.1.171",4,0,1,1,0,0,0,0,2,2,1,0,0,0,1,1,3,1,0,1,4,0,0,0,1,1,0,0,0,1,0,2,1,0,1,1,1,0,0,0,1,1,3,0,1,1,1,2,1,1,0,0,1,0,0,0,1,1,2,0,3,1,0,0,1,1,3,1,0,0,0,0,1,0,0,0
"2.1.1.193",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,2,1,0,0,2,1,0,0,1,0,0,2,0,1,0,1,1,0,2,0
"2.1.1.200",0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"2.3.1.31",0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,4,1,0,0,0,0,1,0,0,1,0,0,0,2,1,0
"2.3.1.46",1,1,1,0,2,0,2,1,1,6,2,1,0,0,2,1,1,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0,1,1,1,0,2,2,1,0,1,1,1,1,3,0,1,0,0,3,0,2,1,0,2,0,1,3,0,1,0
"2.3.1.61",1,1,0,0,2,0,0,0,0,0,2,0,0,1,0,1,0,0,0,5,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,0,3,0,2,0,1,0,0,0,0,1,0,1,0,0,2,4,0,0,0,1,0,0,1,0,0,0,1,1,0,2,0
"2.4.1.4",1,0,2,1,1,0,0,2,2,3,2,3,5,2,0,4,1,0,0,2,2,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,3,1,1,0,1,1,1,0,1,1,0,0,0,5,2,2,3,1,0,0,0,5,0,5,2,0,0,0,2,0,0,0,0
"2.4.1.230",1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,3,1,0,0,0,0,0,0,1,3,0,0,0,0,1,3,0,1,0,1,0,1,1,1
"2.4.1.329",0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.6.1.85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0
"2.6.1.87",2,1,1,0,0,0,3,2,1,1,3,1,1,0,0,2,2,0,0,0,1,2,0,1,1,0,1,1,0,0,1,0,0,3,0,0,0,0,0,1,0,1,1,0,0,7,0,1,1,0,0,0,1,1,1,0,1,0,0,0,4,1,0,0,3,1,2,1,0,1,0,1,0,1,0,1
"2.6.1.100",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.7.1.144",2,1,0,0,0,0,1,0,3,3,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,2,0,1,1,1,2,0,2,0,0,3,0,1,1,0,1,0,1,2,1,1,0
"2.7.1.148",2,0,0,1,0,0,1,0,1,3,1,1,0,2,1,2,3,0,1,3,1,0,2,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,1,2,0,2,0,3,1,1,0,3,1,1,0,1,2,1,3,2,3,1,1,1,4,1,0,0,2,2,1,1,0,3,0,0,2,0,1,0
"2.7.6.3",5,0,1,0,0,1,1,0,2,4,0,2,0,0,1,1,1,0,1,4,2,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,2,0,0,1,1,2,2,0,8,3,1,0,1,0,0,1,0,1,2,0,1,3,0,0,0,1,0,2,0,0,2,1,2,0,0,0,0
"2.7.7.13",4,2,0,0,0,1,2,0,0,1,0,1,1,2,0,1,2,1,0,0,1,1,1,1,1,0,2,0,0,1,1,0,0,1,0,2,3,0,1,0,1,2,0,0,2,0,0,3,1,0,0,1,3,2,2,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,2,1,2,0,3,1
"2.7.7.80",0,0,0,0,0,1,1,0,2,4,0,1,2,0,0,1,1,0,0,2,2,0,1,1,1,0,0,1,0,3,0,0,0,2,1,0,0,0,0,2,0,0,0,0,1,1,1,3,2,0,0,0,1,0,1,0,0,1,0,1,2,1,0,0,1,0,0,0,0,2,0,1,1,0,2,0
"2.7.13.1",4,2,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,3,0,0,0,0,0,1,0,3,0,1,1,1,2,0,0,0,2,1,2,0,2,1,0,0,0,0,0
"3.1.2.29",0,0,0,1,0,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,2,0,0,1,1,2,0,0,0,0
"3.1.3.5",2,0,0,0,1,0,0,1,2,1,1,0,1,0,1,4,1,1,1,1,2,2,3,0,2,0,1,1,0,2,1,1,1,0,1,0,0,2,3,1,0,1,0,1,4,0,1,2,3,1,0,0,1,0,1,1,0,1,0,2,6,2,0,0,1,1,3,1,1,1,1,0,3,0,1,1
"3.1.6.4",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,1
"3.1.6.13",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.2.1.58",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,2,0,0,0,1,0,0,3,1,2,0,0,2,0,0,0,0,0,0,1,1,0,1,0
"3.2.1.84",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0
"3.2.1.99",0,0,0,0,1,0,0,1,3,1,0,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,2,2,0,0,1,0,0,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,4,1,0,1,1,1,0,0,1,0,1,0,1,1,2,4,1,0,4,0
"3.2.1.199",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.2.2.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.4.11.1",2,1,0,1,0,0,0,0,2,4,2,1,1,0,1,1,2,0,0,2,3,2,0,0,0,1,1,4,0,2,0,0,0,1,1,2,0,0,1,0,0,2,1,0,0,4,0,0,1,0,0,1,1,0,1,0,4,2,1,0,3,1,0,0,2,0,1,1,0,2,0,0,0,2,0,0
"3.4.11.21",0,0,0,1,0,0,1,0,0,4,1,1,1,0,0,0,2,0,0,3,1,0,0,2,2,1,1,1,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,0,0,1,1,1,1,1,5,1,2,2,2,1,0,0,0,0,2,1,1,0,1,0,0,2,1,0
"3.4.17.19",2,3,0,1,1,0,2,0,3,6,2,3,2,0,1,1,4,0,0,4,4,0,0,2,0,0,3,1,0,1,1,1,0,3,3,0,2,1,1,1,0,2,0,0,5,1,0,5,2,2,0,0,1,0,3,1,3,3,1,3,7,6,0,0,0,0,4,2,1,2,3,5,2,1,2,2
"3.4.21.89",5,3,3,2,3,2,1,1,0,3,0,0,0,1,1,2,1,0,0,1,2,3,3,0,3,0,1,3,0,0,0,0,1,4,0,3,1,2,1,1,3,1,2,0,4,4,0,2,4,3,0,2,2,2,1,0,1,1,2,1,2,3,0,0,2,2,2,1,0,0,0,1,2,1,4,1
"3.4.22.71",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"3.4.24.11",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"3.5.2.5",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,3,2,0,0,2,1,0,0,0,0,0,1,1,1,1,0
"3.5.2.9",2,1,0,0,0,0,2,0,1,6,2,1,2,0,0,0,4,0,0,4,1,1,0,1,1,0,0,3,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,0,2,2,0,0,0,0,0,1,1,2,1,0,2,3,1,0,0,1,0,1,2,0,1,0,3,0,1,1,0
"3.5.99.7",1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"3.6.1.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.7.1.5",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"4.1.1.12",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,4,0,0,3,1,0,0,0,1,0,2,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,4,0
"4.1.1.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4.1.3.3",4,2,0,1,3,3,3,2,2,4,0,1,0,2,0,2,2,0,0,5,1,3,1,1,3,0,1,1,0,1,1,0,2,4,0,2,0,0,5,2,3,0,2,0,1,5,1,3,4,1,1,4,2,1,3,1,2,0,1,2,4,3,0,0,3,2,2,2,0,1,0,1,4,1,3,3
"4.1.99.1",1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0
"4.1.99.22",1,2,0,2,1,0,3,2,2,1,1,0,3,0,0,1,2,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,2,0,0,1,1,3,1,1,3,1,2,0,1,2,0
"4.2.1.32",0,1,1,0,0,0,1,0,2,7,0,2,3,1,1,1,1,1,1,3,6,2,0,0,1,0,3,0,0,2,0,0,0,1,2,1,0,0,0,1,0,1,0,1,3,1,0,1,3,1,0,1,1,0,1,1,4,3,1,0,1,1,0,0,5,1,9,1,0,1,1,3,1,0,1,0
"4.2.1.93",1,2,0,1,0,2,2,0,5,4,3,1,5,1,0,1,5,1,0,7,1,1,1,0,3,0,2,3,0,1,1,0,0,2,4,2,0,0,1,5,0,0,1,0,1,1,0,2,1,0,0,2,3,2,0,0,5,0,7,1,4,1,0,0,2,1,8,2,1,5,1,4,1,2,3,1
"4.2.2.18",1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"4.3.1.7",3,0,6,3,1,5,11,0,10,9,8,6,4,2,0,5,5,0,0,0,4,0,0,1,1,0,8,2,0,7,0,0,0,11,3,0,0,3,10,11,4,1,8,3,0,13,1,18,1,4,0,10,3,0,7,4,18,1,14,10,6,1,0,1,8,6,2,7,1,8,9,11,2,1,3,0
"4.3.1.15",2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0
"4.3.1.27",0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0
"4.4.1.1",1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,2,0
"4.99.1.3",3,0,0,0,0,0,3,0,4,5,4,0,2,1,0,0,3,1,0,2,3,1,1,2,0,0,0,0,0,2,0,0,1,2,0,1,0,1,1,2,0,0,1,0,1,0,1,3,1,0,0,2,1,1,0,0,2,2,2,1,1,2,0,0,1,1,3,2,1,2,0,4,0,0,1,0
"5.1.1.11",1,1,1,2,2,1,0,1,2,2,0,2,1,1,1,2,3,0,1,3,2,3,1,1,2,2,0,2,0,0,0,0,1,2,0,1,2,3,3,1,1,0,2,1,2,2,1,1,4,1,0,2,4,1,1,0,0,0,3,2,2,2,0,0,3,3,0,2,0,0,0,0,2,1,1,3
