"","train_4288","train_4289","train_4290","train_4291","train_4297","train_4298","train_4299","train_4300","train_4301","train_4302","train_4303","train_4304","train_4305","train_4341","train_4342","train_4343","train_4344","train_4345","train_4346","train_4347","train_4348","train_4349","train_4351","train_4354","train_4355","train_4356","train_4357","train_4358","train_4359","train_4360","train_4365","train_4366","train_4376","train_4391","train_4393","train_4394","train_4395","train_4396","train_4397"
"Victivallis_vadensis",0,0,0,0,0.00914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phascolarctobacterium_faecium",0.98854,0.01872,0.00441,0.01888,0.01875,0.08545,0.98736,0.28075,0.43899,0.00357,0.00478,0.00493,0.69794,0.00366,1.06181,1.31056,0.16254,0.03478,0.26256,0.97543,0.01619,0.03765,1.08804,0.1297,2.64686,0.00301,0.00642,0.00285,0.00208,0.13885,2.24078,2.98461,0,0.22124,0.00114,1.06786,0.00223,0.01272,0.1866
"Bacteroides_clarus",0,0,0,0.10963,0.04563,0,0,0.02798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039,0,0,0,0,0,0,0,0,0,0,0.03573,0,0,0,0
"Actinomyces_odontolyticus",0,0,0.00171,0.00213,0,0,0,0,0,0,0,0,0.00345,0,0.00243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00068,0.01396,0,0,0.00081,0,0,0.00023,0,0
"Turicimonas_muris",0.24803,0,0,0,0.01913,0,0.00645,0.01001,0.0061,0,0.0436,0.03816,0,0.01067,0.00105,0.00704,0.03181,0,0,0,0.0017,0,0.05626,0.05286,0,0,0,0.00048,0.01806,0.07605,0.00214,0.10559,0,0.00207,0.00086,0.00219,0.1702,0,0.00445
"Bacteroides_nordii",0,0,0.00341,0.00069,0.00216,0,0.0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143,0,0,0.00363,0.02806,0,0,0,0,0,0.00448,0.01073,0,0,0.20101,0,0,0
"Parabacteroides_goldsteinii",0,0,0.16888,0.0173,0,0,0,0,0,0,0,0,0,0,0,0,0.0058,0,0,0,0,0.03952,0,0,0,0,0,0,0,0,0,0,0,0,0.00105,0,0,0,0.04977
"Clostridium_bolteae",0,0.00218,0,0.01277,0,0.00407,0,0,0,0.04064,0,0.00207,0.23284,0.39163,0.00917,0,0,0.01764,0,0,0,0,0,0,0,0.01441,0,0,0,0,0,0.0063,0.0181,0.03349,0,0.00908,0.00236,0.0205,0.00866
"Anaerotruncus_sp_CAG_528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03726,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_coprocola",1.24077,0.00036,0.58575,0.11013,0.03273,0.03349,0.03408,0.64011,0.024,0.0323,0.03357,0.03122,0.03635,0,0.67523,0,1.22227,0.00081,2.10164,0.14512,2.70247,0.00068,0,0.66281,0.58172,0.00797,0.01459,0.00301,0.22082,0.00755,1.17096,0,0.00459,0.00332,0,0,0,0.00426,3.50338
"Bacteroides_faecis_CAG_32",0,0,0,0.00157,0.00151,0,0,0,0,0,0,0,0,0,0,0,0,0.05719,0,0,0,0,0,0,0,0,0,0,0,0,0.52995,0,0,0,0,0,0,0,0
"Veillonella_parvula",0,0,0.01885,0,0.00451,0.04621,0,0.01372,0.00079,0.18189,0.16074,0,0,0.08647,0,0,0.14548,0.00137,0.02092,0.10335,0,0.0083,0,0.0532,0.85925,0.09788,0.06954,0.02722,0.04601,0.18888,0.19074,4e-04,0.30097,0.12475,0.03347,0.01734,0,0,0.26751
"Bacteroides_plebeius",13.43887,22.20592,0.10531,2.03942,0.23155,43.37413,0.21789,1.89118,0.16616,0.22618,0.28668,0.24605,0.29817,44.75215,0.54048,0.64519,6.63838,0.17564,30.21221,0.06157,29.3868,4.25049,0.03351,0.09637,2.92631,0.10114,0.16191,0.12226,0.9823,0.06469,6.52243,0.09569,0.08718,0.03239,8.92107,0.03748,0.03956,0.15967,33.79514
"Oxalobacter_formigenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0.01579,0,0,0,0,0,0,0,0.07842,0,0,0.20044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_angulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29309,0,0,0,0,0,0,0,0,0,0,0,0
"Blastocystis_sp_subtype_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_coprophilus",0,0,0,0.20998,0,0,0,0,0,0,0.0022,0.00247,0.00478,0.00255,0.00135,0.00097,2.61351,0.00226,0,0,0,0.62831,0,7e-04,0,0,0,0,0,0.00098,3.75159,0,0,0,0.00505,0.00639,6.37032,0.00675,0
"Prevotella_bivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00629,0,0,0,0,0,0,0,0,0,0.00563,0,0,0,0,0,0,0.19844,0
"Allisonella_histaminiformans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00505,0,0,0,0,0,0.00958,0,0,0,0.00528,0,0,0.00446,0.0017,0,0,0.00171,0,0,0,0,0
"Paraprevotella_clara",0,0,0.03233,0,0.00077,0.67862,0.00057,0.00091,0.00013,0.00039,0,0,0,0,0,0,0.02004,0,0.03006,0,0,0,0,0.06912,0,0,0.00336,0,0,0,0.02549,0,0,0,0,0,0,0,0
"Sutterella_parvirubra",0,0,0.00071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01707,0,0,0,0,0,0,0,0,0,0.06561,0,0,0,0,0,0,0.02397,0
"Firmicutes_bacterium_CAG_555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00079,0,0,0
"Cloacibacillus_porcorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_pectinophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_oral_taxon_448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialister_sp_CAG_357",0.06943,0,0.00885,0.05972,0.02017,0.01006,0.01576,10.94193,0.01205,0.01451,6.06154,3.22845,0.02364,0.02296,0.03536,0.11167,5.74884,0.02791,15.41984,0.01864,4.96108,2.96076,0.00399,0.00816,0.00536,0.00608,0.01211,1.83985,3.86725,0.00457,0,0.00859,0,0.00671,0.00306,0.00274,0.00213,0.00604,0
"Bacteroides_sp_CAG_633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_sobrinus",0,0,0,0,0,0,0,0,0,0,0.00457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus_fermentans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella_variicola",0,0,0.0199,0,0.01714,0,0,0.0918,0,0,0,0.74985,0,0.03027,0.2153,0.03991,0.06802,1.31662,0.02492,0.00339,0,0,0,0,0,0,0.13118,0.00769,0.00388,0,0.02366,0,0,0.02348,0.02593,0.00525,0.02963,0.04586,0.02603
"Bifidobacterium_catenulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24217,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_gordonii",0,0,0.002,0,0,0,0,0.0042,0,0,0.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00754,0,0,0,0,0,0,0,0
"Enterococcus_faecalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_pseudocatenulatum",2.7785,1.22403,0.27664,0.30738,0.4232,0.00067,0.06872,0.11492,0.53113,0.34048,7.98226,0.32125,0.01703,0.06893,0.48422,1.35307,0.30143,14.11169,0.38031,0.02318,0.0144,0.40217,2.59468,1.07586,1.48479,10.77531,0.58633,0.04321,0.26112,9.9189,0.93811,0.2145,0.87811,1.43513,0.00268,0.36892,0.00845,5.63055,0.01379
"Prevotella_sp_CAG_1185",0.00241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_5226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides_sp_CAG_409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_145",0,0,0,0.04516,0,0,0,0,0,0,0.01893,0,0,0,0,0,0,0,0,0,0,0.00565,0,0.02129,0,0,0,0,0,0,0.00043,0,0,0,0,0,0,0,0
"Pseudoflavonifractor_sp_An184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_sp_CAG_303",0,0,0,0,0.0029,0,0.00059,0.00278,0.00272,0.00263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00382,0,0,0,0,0,0,0,0,0,0,0,0.00396,0,0,0.02236
"Prevotella_sp_CAG_1092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_lutetiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02598,0,0,0,0,0,0,0
"Butyricicoccus_pullicaecorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Absiella_dolichum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00022,0,0,0,0,0,0,0
"Eubacterium_dolichum_CAG_375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00071,0,0,0,0,0,0,0
"Tyzzerella_nexilis",0,0,0,0,0.00299,0.16109,0,0,0.0079,0,0,0,0.01376,0,0,0,0,0.00778,0,0,0,0.00169,0,0,0,0,0,0,0,0,0,0,0.01867,0,0,0,0.02922,0,0
"Eisenbergiella_massiliensis",0,0,0,0.07958,0,0,0,0,0,0,0.02694,0,0.16382,0,0.01306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-04,0,0,0
"Clostridium_sp_CAG_242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_AM42_24",0,0,0.05687,0,0,0,0,0.01649,0,0,0,0,0,0,0,0,0,0,0,0,6.04814,0.00166,0.00468,0,0,0,0.5092,0,0,0,0,0,0,0,0,0,0,0,0
"Butyrivibrio_sp_CAG_318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_sp_An66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus_sp_HMSC71H05",0,0,0,0,0,0,0,0.00305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00688,0,0,0,0,0.03705,0,0.00571,0,0,0.00113,0,0,0,0,0
"Megasphaera_elsdenii",0,0,0.00407,4.76286,0.0016,0.00249,0.00115,0.17546,0,1.27811,0,0,0,0,0,0,0.00807,0,0,0.16106,0,0,0,0,0,0,0,0,0,0.32919,0.65798,0,0,0,0,0,0,0.00049,0
"Acidaminococcus_intestini",0,0,0,0,0.00104,0,0,0,0.00123,1.90689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Faecalitalea_cylindroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia_hydrogenotrophica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enorma_massiliensis",0,0,0,0,0,0,0,0,0,0,0.09681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerotignum_lactatifermentans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05628,0
"Desulfovibrio_fairfieldensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_1320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavonifractor_sp_An10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_timonensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014,0,0,0,0
"Clostridium_sp_CAG_299",0,0,0,0,0,0.05392,0,0,0,0,0,0,0.21618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018,0,0,0,0,0,0,0,0,0,0
"Anaerofilum_sp_An201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cloacibacillus_evryensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05712,0,0,0
"Enterococcus_hirae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyramidobacter_piscolens",0,0,0,0.00591,0,0,0,0.00225,0,0,0,0,0.00075,0,0,0,0,0,0,0.00206,0.01688,0,0,0,0,0,0,0,0,0,0.05358,0,0,0,0,0,0,0,0
"Pseudomonas_aeruginosa_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_johnsonii",0,0,0,0.00434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Massiliomicrobiota_timonensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyramidobacter_sp_C12_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialister_succinatiphilus",0,0,0,0,0.18175,0.00949,0.00504,0.00919,0.0048,6.28855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterobacter_cloacae_complex",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152,0.00076,0,0.0177,0.02199,0.00632,0.01539,0,0,0,0,0.28051,0,0.00918,0,0,0,0,0,0,0,0.01063,0.0145,0.00675,0,0
"Ruminococcus_sp_CAG_488",0,0,4.25372,1.24231,0,0,0,0,0,0,0,0,0,0,0.00668,0,0,0,0,0,0,0,0,0,0.01378,0,0.02632,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_530",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55295,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_callidus",7e-04,0,0.00079,0.00607,0.00081,0,0,0,0,0,0,0,0,0,0,0,0.00441,0,0,0.01324,0.00293,0,0.00114,0.01311,0,0.01831,0.0016,0,0,0,0.0439,0.00321,0,0,0.01129,0,0,0,0
"Mitsuokella_jalaludinii",0,0,0,0.00031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phascolarctobacterium_sp_CAG_266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyrivibrio_crossotus",0,0,0.00697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dielma_fastidiosa",0.01905,0,0,0,0,0,0,0,0,0,0,0,0.15479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00737,0,0,0,0,0,0,0
"Prevotella_sp_CAG_924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_amylovorus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_964",0,0,0,0,0,0,0,0,0,0,0,0,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_kefiranofaciens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_acidophilus",0,0,0,0,0,0,0,0.02982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Varibaculum_cambriense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrionaceae_bacterium",0,0,0,0.16447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citrobacter_koseri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_rhamnosus",0,0,0,0,0,0,0,0.06165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_sanguinis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00376,0,0,0,0,0,0,0,0,0,0,0,0,0.0229,0,0,0,0,0.00036,0,0,0
"Ruminococcus_sp_CAG_563",0,0,0.05085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_corporis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192,0,0,0,0,0,0,0,0,0,0.00128,0,0,0,0,0,0,0
"Mogibacterium_diversum",0,0,0.00073,0.00177,0,0,0,0,0,0,0,0,0,0,0.00089,0,0,0.00041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038,0,0
"Fretibacterium_fastidiosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_australis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00228,0,0,0,0,0,0,0,0,0,0,0.00646,0,0.04635,0,0,0,0,0,0,0,0
"Lactobacillus_ruminis",0,0,0.00042,1.39821,0,0,0,0,0,0,0,0,0,0.00692,0.00714,0.02815,0.31723,0.00776,0.21559,0.04334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12961,0,0
"Fusobacterium_sp_CAG_439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia_mucilaginosa",0,0,0,0,0,0,0.00046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029,0,0,0,0,0,0.01476,0,0,0,0,0,0,0,0
"Eubacterium_sp_OM08_24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_rogosae",0.00087,0.02574,0.00167,0.00711,0.00112,0,0,0.00765,0,0,0.02483,0.0122,0.00227,0,0,0,0,0,0,0,0,0,0,0.00043,0,0,0.00139,0.00083,0.00152,0.41947,0,0.04917,0,0.2102,0,0,0,0,0
"Hafnia_paralvei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hafnia_alvei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_sp_43_108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_asparagiforme",0.0146,0.00297,0.00273,0.00023,0,0,0,0,0,0,0.02942,0,0.13041,0.06178,0,0,0,0,0,0,0,0,0,0.00379,0,0.01274,0,0,0,0,0,0,0.00677,0,0,0.04896,0,0,0
"Clostridium_lavalense",0.00364,0,0,0,0,0,0,0.01883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02216,0,0,0,0,0,0,0,0,0,0,0.00024,0,0
"Lactobacillus_sakei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00559,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Christensenella_minuta",0,0,0,0.00218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_485",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_durans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01724,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_galacturonicus",0,0.65426,0,0,0,0,0,0,0.00484,0,0.03112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00119,0,0,0,0,0,0,0,0.31367,0,0,0,0,0,0
"Sellimonas_intestinalis",0,0,0,0,0,0,0,0,0,0.07447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00242,0,0,0,0,0,0.006,0.00438,0,0,0,0,0,0
"Clostridium_bolteae_CAG_59",0,0,0,0,0,0,0,0,0,0.00327,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01946,0,0,0,0,0,0,0,0,0,0.00432,0.00096,0,0
"Prevotella_sp_CAG_1031",0,0,0.00105,0.00289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_413",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_598",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mitsuokella_multacida",0,0,0,1.66827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megasphaera_sp_DISK_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella_quasipneumoniae",0,0,0.02598,0,0.00672,0,0,0.00503,0,0,0,0.01159,0,0,0.04693,0.01961,0,0.29994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01342,0.00873,0.00726,0.00447,0.02395,0
"Alloscardovia_omnicolens",0,0,0,0,5e-04,0,0,0,0,0,0,0,0,0,0,0,0.03166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_infantis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00216,0,0,0.00105,0,0,0,0,0,0,0,0,0,0,0.00407,0,0.03096,0,0,0,0,0,0,0,0
"Streptococcus_sp_A12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_hylemonae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_champanellensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_graevenitzii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201,0,0,0,0,0.06456,0,0,0,0.00041,0,0,0,0,0
